facility_id,name,city,state,facilityTypeId,operatorTypeId,claimed_capabilities,score,summary_text,description,unstructured_blob,label_icu,label_nicu,label_dialysis,label_oncology,label_general_surgery,label_trauma_emergency,label_emergency_appendectomy,label_cardiac_care,label_emergency_24x7,label_anesthesiologist,notes_for_labeler
vf_002973,Dr Ajay Pal' S Healthy Heart Clinic,Amritsar,Punjab,clinic,private,['cardiac_care'],50.0,"Dr Ajay Pal' S Healthy Heart Clinic | Amritsar, Punjab | type=clinic | specialties=familyMedicine,cardiology | Healthy Heart Clinic has shifted to SIFTI HOSPITAL, Batala road, Amritsar.","Healthy Heart Clinic has shifted to SIFTI HOSPITAL, Batala road, Amritsar.","DESCRIPTION:
Healthy Heart Clinic has shifted to SIFTI HOSPITAL, Batala road, Amritsar.

SPECIALTIES:
- familyMedicine
- cardiology

CAPABILITY CLAIMS:
- The clinic relocated to SIFTI HOSPITAL in Amritsar
- The clinic operates as a heart care clinic
- Dr Ajay Pal Singh holds DM Cardiology

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_006695,Kids Dentistry Clinic,Kharadi,Maharashtra,clinic,private,['general_surgery' 'dental'],50.0,"Kids Dentistry Clinic | Kharadi, Maharashtra | type=clinic | specialties=familyMedicine,orthodontics,oralAndMaxillofacialSurgery,pediatricDentistry,dentistry,endodontics | Pediatric dentistry clinic in Pune led by Dr. Abhay Bhosale.",Pediatric dentistry clinic in Pune led by Dr. Abhay Bhosale.,"DESCRIPTION:
Pediatric dentistry clinic in Pune led by Dr. Abhay Bhosale.

SPECIALTIES:
- familyMedicine
- orthodontics
- oralAndMaxillofacialSurgery
- pediatricDentistry
- dentistry
- endodontics

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_001963,Centre for Advanced Gastroenterology,Siliguri,West Bengal,clinic,private,['icu' 'obgyn_delivery'],55.0,"Centre for Advanced Gastroenterology | Siliguri, West Bengal | type=clinic | specialties=familyMedicine,gastroenterology,internalMedicine | CAG deliver comprehensive gastroenterologic healthcare at an affordable cost. CAG has OPD, Daycare, 24X7 GI Emergency services, IPD and state-of-art modern ICU Care.","CAG deliver comprehensive gastroenterologic healthcare at an affordable cost. CAG has OPD, Daycare, 24X7 GI Emergency services, IPD and state-of-art modern ICU Care.","DESCRIPTION:
CAG deliver comprehensive gastroenterologic healthcare at an affordable cost. CAG has OPD, Daycare, 24X7 GI Emergency services, IPD and state-of-art modern ICU Care.

SPECIALTIES:
- familyMedicine
- gastroenterology
- internalMedicine

PROCEDURES:
- No explicit clinical procedures listed in provided content

CAPABILITY CLAIMS:
- Specializes in gastroenterology
- Associated with Heritage hospital (Centre for Advanced Gastroenterology) in Siliguri
- Provides 24x7 GI emergency services
- Offers daycare services
- Operates an outpatient gastroenterology clinic
- Has Dr. Manish Kumar Mishra, a gastroenterologist with 17 years of experience
- Offers online appointment booking for Dr. Manish Kumar Mishra
- Delivers comprehensive gastroenterologic healthcare
- Provides inpatient department (IPD) services
- Located in Siliguri, West Bengal, India
- Provides gastroenterology consultations
- Has state-of-the-art ICU care
- Offers outpatient department (OPD) gastroenterology services
- Offers affordable gastroenterology care

EQUIPMENT:
- No specific medical equipment mentioned in provided content",,,,,,,,,,,
vf_005324,"Heaven Diagnostic Centre, Pampore",Pampore,Jammu and Kashmir,clinic,private,"['general_surgery' 'cardiac_care' 'obgyn_delivery' 'ultrasound'
 'emergency_24x7' 'lab_diagnostics']",60.0,"Heaven Diagnostic Centre, Pampore | Pampore, Jammu and Kashmir | type=clinic | specialties=radiology,pulmonology,familyMedicine,cardiology,gynecologyAndObstetrics,orthopedicSurgery | We are the best diagnostic centre in saffron town pampore.",We are the best diagnostic centre in saffron town pampore.,"DESCRIPTION:
We are the best diagnostic centre in saffron town pampore.

SPECIALTIES:
- radiology
- pulmonology
- familyMedicine
- cardiology
- gynecologyAndObstetrics
- orthopedicSurgery

PROCEDURES:
- Color Doppler is offered
- Pulmonary Function Tests (PFT) are offered
- Blood analysis is performed
- Ultrasonography is offered
- Obstetric Doppler is performed

CAPABILITY CLAIMS:
- Open 24 hours
- Established in 2018

EQUIPMENT:
- Biochemistry Lab",,,,,,,,,,,
vf_007351,Malerkotla Hospital,Chananwal,Punjab,hospital,,['general_surgery' 'radiology_xray' 'physiotherapy'],55.0,"Malerkotla Hospital | Chananwal, Punjab | type=hospital | specialties=orthopedicSurgery,radiology,physicalMedicineAndRehabilitation,internalMedicine | Specialist in knee, cervical, spine; X-ray technician","Specialist in knee, cervical, spine; X-ray technician","DESCRIPTION:
Specialist in knee, cervical, spine; X-ray technician

SPECIALTIES:
- orthopedicSurgery
- radiology
- physicalMedicineAndRehabilitation
- internalMedicine

PROCEDURES:
- Provides physiotherapy services including TENS therapy
- Offers X-ray imaging services

CAPABILITY CLAIMS:
- Established in 2004
- X-ray imaging capability on-site
- Specializes in knee, cervical spine care

EQUIPMENT:
- X-ray imaging equipment available on-site",,,,,,,,,,,
vf_002279,"City Hospital and Hijama (Cupping Therapy) Center, Rahata",Rahata,Maharashtra,hospital,,['general_surgery'],50.0,"City Hospital and Hijama (Cupping Therapy) Center, Rahata | Rahata, Maharashtra | type=hospital | specialties=spineNeurosurgery,internalMedicine | Cervical spondylosis and cupping therapy (Hijama)",Cervical spondylosis and cupping therapy (Hijama),"DESCRIPTION:
Cervical spondylosis and cupping therapy (Hijama)

SPECIALTIES:
- spineNeurosurgery
- internalMedicine

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_003392,Dr Rupa Pandra MOMS Clinic,Hyderabad,Telangana,clinic,private,[],80.0,"Dr Rupa Pandra MOMS Clinic | Hyderabad, Telangana | type=clinic | specialties=familyMedicine | Moms clinic has been started for care of women's health.",Moms clinic has been started for care of women's health.,"DESCRIPTION:
Moms clinic has been started for care of women's health.

SPECIALTIES:
- familyMedicine

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_006104,Jeevarth Clinic & Medical Center,Allahabad,Uttar Pradesh,hospital,private,[],80.0,"Jeevarth Clinic & Medical Center | Allahabad, Uttar Pradesh | type=hospital | specialties=internalMedicine | We are a premium health clinic & medical centre at Prayagraj. Providing consultations for Internal Me",We are a premium health clinic & medical centre at Prayagraj. Providing consultations for Internal Me,"DESCRIPTION:
We are a premium health clinic & medical centre at Prayagraj. Providing consultations for Internal Me

SPECIALTIES:
- internalMedicine

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_003242,"Dr Oshin Ayurvedic Clinic, Vishnu Arcade, Yemalur, Bangalore, India, Karnataka",Bangalore,Karnataka,clinic,private,[],80.0,"Dr Oshin Ayurvedic Clinic, Vishnu Arcade, Yemalur, Bangalore, India, Karnataka | Bangalore, Karnataka | type=clinic | specialties=familyMedicine | Ayurvedic clinic in Vishnu Arcade, Yemalur, Bangalore, Karnataka, India.","Ayurvedic clinic in Vishnu Arcade, Yemalur, Bangalore, Karnataka, India.","DESCRIPTION:
Ayurvedic clinic in Vishnu Arcade, Yemalur, Bangalore, Karnataka, India.

SPECIALTIES:
- familyMedicine

CAPABILITY CLAIMS:
- Ayurvedic clinic based in Bengaluru, Karnataka, India

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_001393,Babrej Health Care Unit,Batala,Gurdaspur,clinic,,[],80.0,"Babrej Health Care Unit | Batala, Gurdaspur | type=clinic | specialties=familyMedicine | Community health center",Community health center,"DESCRIPTION:
Community health center

SPECIALTIES:
- familyMedicine

CAPABILITY CLAIMS:
- Located in Ludhiana, Punjab, India
- Community health center

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_004110,Dr. Rahul Jadhav's Classical Homeopathic Clinic,Satara,Maharashtra,clinic,,[],80.0,"Dr. Rahul Jadhav's Classical Homeopathic Clinic | Satara, Maharashtra | type=clinic | specialties=familyMedicine | nan",,"SPECIALTIES:
- familyMedicine

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_009961,Yash Medicine,Gondal,Gujarat,clinic,,[],80.0,"Yash Medicine | Gondal, Gujarat | type=clinic | specialties=familyMedicine,internalMedicine | Medical Center",Medical Center,"DESCRIPTION:
Medical Center

SPECIALTIES:
- familyMedicine
- internalMedicine

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_009751,Varis Clinic,Ahmedabad,Gujarat,clinic,,[],80.0,"Varis Clinic | Ahmedabad, Gujarat | type=clinic | specialties=familyMedicine | Varis Clinic is listed as a clinic in Juhapura, Ahmedabad, Gujarat, with the address Quresh Nagar Society, Ahmedabad-380055, Gujarat.","Varis Clinic is listed as a clinic in Juhapura, Ahmedabad, Gujarat, with the address Quresh Nagar Society, Ahmedabad-380055, Gujarat.","DESCRIPTION:
Varis Clinic is listed as a clinic in Juhapura, Ahmedabad, Gujarat, with the address Quresh Nagar Society, Ahmedabad-380055, Gujarat.

SPECIALTIES:
- familyMedicine

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_007135,Layasri Homoeo Clinic,Bangalore,Karnataka,clinic,private,[],80.0,"Layasri Homoeo Clinic | Bangalore, Karnataka | type=clinic | specialties=familyMedicine | nan",,"SPECIALTIES:
- familyMedicine

PROCEDURES:
- Located in Bangalore, Karnataka, India
- Listed as a Medical Center on Facebook

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_007392,Marwad Poly Clinic,Didwana,Rajasthan,clinic,private,['cardiac_care' 'emergency_24x7'],80.0,"Marwad Poly Clinic | Didwana, Rajasthan | type=clinic | specialties=familyMedicine,cardiology | Clinic",Clinic,"DESCRIPTION:
Clinic

SPECIALTIES:
- familyMedicine
- cardiology

CAPABILITY CLAIMS:
- Patient portal available
- Emergency information: call 911 for medical emergencies
- Insurance verification required for acceptance
- Online scheduling available 24/7
- Unit of Marwar Hospital and Research Center
- Cardiology board-certified physicians
- Telehealth visits available
- Languages: English

EQUIPMENT:
- Wheelchair-accessible car park
- Wheelchair-accessible entrance",,,,,,,,,,,
vf_000024,32 Smile Stone Dental Clinic and impalnt center,Gandhinagar,Gujarat,dentist,private,['oncology' 'emergency_24x7' 'dental'],75.0,"32 Smile Stone Dental Clinic and impalnt center | Gandhinagar, Gujarat | type=dentist | specialties=surgicalOncology,pediatricDentistry,familyMedicine,generalDentistry,craniofacialAndCleftOralMaxillofacialSurgery,orthodontics,prosthodontics,oncologyAndReconstructiveOralAndMaxillofacialSurgery,oralAndMaxillofacialSurgery,dentoalveolarSurgery,cosmeticDentistry,periodontics,endodontics,dentistry,craniomaxillofacialTraumaSurgery,oralPathology,aestheticDentistry | 32 Smile Stone Dental Clinic and implant center",32 Smile Stone Dental Clinic and implant center,"DESCRIPTION:
32 Smile Stone Dental Clinic and implant center

SPECIALTIES:
- surgicalOncology
- pediatricDentistry
- familyMedicine
- generalDentistry
- craniofacialAndCleftOralMaxillofacialSurgery
- orthodontics
- prosthodontics
- oncologyAndReconstructiveOralAndMaxillofacialSurgery
- oralAndMaxillofacialSurgery
- dentoalveolarSurgery
- cosmeticDentistry
- periodontics
- endodontics
- dentistry
- craniomaxillofacialTraumaSurgery
- oralPathology
- aestheticDentistry

PROCEDURES:
- Performs third molar removal with minor surgery
- Provides Tooth Coloured Filling
- Root Canal Treatment
- Treats cancerous lesions in the oral cavity
- Provides pediatric dentistry
- Offers veneers for smile enhancement
- Silver Amalgam Restoration
- Offers Dental Jewellery
- Treats pyorrhea
- Pediatric dentistry
- Dental Jewellery
- Third molar removal with minor surgery
- Cancerous lesion in oral cavity
- Tooth whitening (bleaching)
- Offers Root Canal Treatment
- Provides Silver Amalgam Restoration
- Treatment of jaw fracture
- Provides Removable Prosthesis
- Treats jaw fractures
- Ultrasonic scaling
- Treatment of pyorrhea
- Dental Implant
- Fixed Prosthesis
- Maxillofacial surgery
- Removable Prosthesis
- Provides Fixed Prosthesis
- Provides Extraction
- Treatment of tumors in oral cavity
- Orthodontic Treatment
- Offers Dental Implant
- Provides ultrasonic scaling
- Offers orthodontic treatment
- Tooth Coloured Filling
- Performs maxillofacial surgery
- Extraction
- Offers tooth whitening (bleaching)
- Treats tumors in the oral cavity

CAPABILITY CLAIMS:
- Dental clinic and implant center located in Gandhinagar, Gujarat
- Operates a dental clinic and implant center
- Dr. Chirag Pandya – Orthodontist on staff
- Provides 24/7 emergency dental care
- Emergency dental services available around the clock
- Dental implant center with implant treatments offered
- Offers 24/7 emergency dental care
- Staffed by multiple dentists including Dr Paresh Chaudhari, Dr Chirag Pandya, Dr Ankit Patel, Dr Mitesh Patel
- Comprehensive dental, maxillofacial, gum and aesthetic treatments under one roof
- Dr. Ankit Patel – Oral Pathologist on staff
- Dr. Mitesh Patel – Oral and Maxillofacial Surgeon; Head and Neck Cancer Surgeon on staff
- Dr. Paresh Chaudhari – Dental Surgeon on staff

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_002325,Clinic India,Khidirpur,West Bengal,clinic,private,['cardiac_care' 'lab_diagnostics'],75.0,"Clinic India | Khidirpur, West Bengal | type=clinic | specialties=familyMedicine,cardiology | Diagnostic clinic providing accurate tests, home collection services, and specialized ECG testing.","Diagnostic clinic providing accurate tests, home collection services, and specialized ECG testing.","DESCRIPTION:
Diagnostic clinic providing accurate tests, home collection services, and specialized ECG testing.

SPECIALTIES:
- familyMedicine
- cardiology

PROCEDURES:
- Home collection of samples for diagnostic testing
- Electrocardiogram (ECG) testing

CAPABILITY CLAIMS:
- Based in Kolkata, West Bengal
- Outpatient diagnostic clinic and polyclinic services
- Home collection of samples seven days a week
- Provides diagnostic testing and a wide range of medical tests
- Dedicated team of doctors available every day
- Offers online booking

EQUIPMENT:
- Digital lab for comprehensive pathological tests",,,,,,,,,,,
vf_001961,Central Pune Doctor House,Pune,Maharashtra,clinic,private,['cardiac_care' 'obgyn_delivery'],75.0,"Central Pune Doctor House | Pune, Maharashtra | type=clinic | specialties=pediatrics,cardiacAndPulmonaryRehabilitation,neurology,spineNeurosurgery,pulmonology,pathology,cardiology,otolaryngology,familyMedicine,internalMedicine,orthopedicSurgery,physicalMedicineAndRehabilitation,neurosurgery,pediatricEndocrinology,endocrinologyAndDiabetesAndMetabolism | Central Pune Doctor House, as the name suggests, is located centrally in the heart of Pune, at Bund Garden Road, Pune-411001. It is a patient centric state of the art medical facility that delivers outstanding services through experienced healthcare providers. Our highly skilled and compassionate specialists have a depth and breadth of experience that ensures world class healthcare delivery. We strongly believe that infrastructure is a key pillar to improve the standards of care and wellbeing of our patients apart from an expert team of doctors and paramedics. We intend to provide a one stop solution for health and wellbeing of our patients as nothing is more important than health.","Central Pune Doctor House, as the name suggests, is located centrally in the heart of Pune, at Bund Garden Road, Pune-411001. It is a patient centric state of the art medical facility that delivers outstanding services through experienced healthcare providers. Our highly skilled and compassionate specialists have a depth and breadth of experience that ensures world class healthcare delivery. We strongly believe that infrastructure is a key pillar to improve the standards of care and wellbeing of our patients apart from an expert team of doctors and paramedics. We intend to provide a one stop solution for health and wellbeing of our patients as nothing is more important than health.","DESCRIPTION:
Central Pune Doctor House, as the name suggests, is located centrally in the heart of Pune, at Bund Garden Road, Pune-411001. It is a patient centric state of the art medical facility that delivers outstanding services through experienced healthcare providers. Our highly skilled and compassionate specialists have a depth and breadth of experience that ensures world class healthcare delivery. We strongly believe that infrastructure is a key pillar to improve the standards of care and wellbeing of our patients apart from an expert team of doctors and paramedics. We intend to provide a one stop solution for health and wellbeing of our patients as nothing is more important than health.

SPECIALTIES:
- pediatrics
- cardiacAndPulmonaryRehabilitation
- neurology
- spineNeurosurgery
- pulmonology
- pathology
- cardiology
- otolaryngology
- familyMedicine
- internalMedicine
- orthopedicSurgery
- physicalMedicineAndRehabilitation
- neurosurgery
- pediatricEndocrinology
- endocrinologyAndDiabetesAndMetabolism

PROCEDURES:
- Electrocardiogram (ECG)
- Fibroscan
- Cardio Pulmonary Exercise Test (CPET)
- Echocardiography (ECHO)
- Holter ECG
- Pathology
- Ambulatory Blood Pressure Monitoring (ABPM)
- Sleep Apnea Test

CAPABILITY CLAIMS:
- In-house Pathology and In-house Pharmacy services
- Specialties offered include Cardiology, Cardiac Rehabilitation, Pediatrics, Pediatric Endocrinology, Orthopedics, Neurology, Neurosurgery, Spine Surgery, Pulmonology, ENT, Physiotherapy and Chiropraxy, Diet & Nutrition, Pathology
- Emergency care is available with schedule: Monday-Friday full day, Saturday full day, Sunday emergency

EQUIPMENT:
- Fibroscan device
- ECG machine
- Pathology laboratory equipment
- Ambulatory blood pressure monitoring device
- Holter monitor
- Sleep apnea testing equipment
- Cardio Pulmonary Exercise Test (CPET) equipment
- Echocardiography (ECHO) equipment",,,,,,,,,,,
